# n one_over_n log2_n twelve_sqrt_n fifty_sqrt_n n_power_0_51 two_power_32_n n_log2_n n2_minus_324 hundred_n2_plus_6n two_n3 n_power_log2_n three_power_n
9.30 1.075268817204e-01 3.217230716221e+00 3.659508163674e+01 1.524795068198e+02 3.118360378828e+00 3.994319585280e+10 2.992024566085e+01 -2.375100000000e+02 8.704800000000e+03 1.608714000000e+03 1.305668991812e+03 2.736703003933e+04
9.40 1.063829787234e-01 3.232660756790e+00 3.679130332021e+01 1.532970971676e+02 3.135416253575e+00 4.037269258240e+10 3.038701111383e+01 -2.356400000000e+02 8.892400000000e+03 1.661168000000e+03 1.398917888408e+03 3.054497643138e+04
9.50 1.052631578947e-01 3.247927513444e+00 3.698648401781e+01 1.541103500742e+02 3.152383449288e+00 4.080218931200e+10 3.085531137771e+01 -2.337500000000e+02 9.082000000000e+03 1.714750000000e+03 1.498219337347e+03 3.409195604538e+04
9.60 1.041666666667e-01 3.263034405834e+00 3.718064012359e+01 1.549193338483e+02 3.169263353298e+00 4.123168604160e+10 3.132513029600e+01 -2.318400000000e+02 9.273600000000e+03 1.769472000000e+03 1.603927853284e+03 3.805082219039e+04
9.70 1.030927835052e-01 3.277984747300e+00 3.737378760575e+01 1.557241150240e+02 3.186057317044e+00 4.166118277120e+10 3.179645204881e+01 -2.299100000000e+02 9.467200000000e+03 1.825346000000e+03 1.716416552230e+03 4.246940443774e+04
9.80 1.020408163265e-01 3.292781749228e+00 3.756594202200e+01 1.565247584250e+02 3.202766657356e+00 4.209067950080e+10 3.226926114243e+01 -2.279600000000e+02 9.662800000000e+03 1.882384000000e+03 1.836078019052e+03 4.740108648038e+04
9.90 1.010101010101e-01 3.307428525192e+00 3.775711853413e+01 1.573213272255e+02 3.219392657689e+00 4.252017623040e+10 3.274354239940e+01 -2.259900000000e+02 9.860400000000e+03 1.940598000000e+03 1.963325210616e+03 5.290545109514e+04
10.00 1.000000000000e-01 3.321928094887e+00 3.794733192202e+01 1.581138830084e+02 3.235936569296e+00 4.294967296000e+10 3.321928094887e+01 -2.240000000000e+02 1.006000000000e+04 2.000000000000e+03 2.098592395867e+03 5.904900000000e+04
10.10 9.900990099010e-02 3.336283387864e+00 3.813659659697e+01 1.589024858207e+02 3.252399612348e+00 4.337916968960e+10 3.369646221743e+01 -2.219900000000e+02 1.026160000000e+04 2.060602000000e+03 2.242336134171e+03 6.590595730353e+04
10.20 9.803921568627e-02 3.350497247084e+00 3.832492661441e+01 1.596871942267e+02 3.268782977006e+00 4.380866641920e+10 3.417507192026e+01 -2.199600000000e+02 1.046520000000e+04 2.122416000000e+03 2.395036293265e+03 7.355916625336e+04
10.30 9.708737864078e-02 3.364572432296e+00 3.851233568611e+01 1.604680653588e+02 3.285087824445e+00 4.423816314880e+10 3.465509605265e+01 -2.179100000000e+02 1.067080000000e+04 2.185454000000e+03 2.557197108228e+03 8.210109011798e+04
10.40 9.615384615385e-02 3.378511623254e+00 3.869883719183e+01 1.612451549660e+02 3.301315287836e+00 4.466765987840e+10 3.513652088184e+01 -2.158400000000e+02 1.087840000000e+04 2.249728000000e+03 2.729348282912e+03 9.163492929413e+04
10.50 9.523809523810e-02 3.392317422779e+00 3.888444419045e+01 1.620185174602e+02 3.317466473279e+00 4.509715660800e+10 3.561933293918e+01 -2.137500000000e+02 1.108800000000e+04 2.315250000000e+03 2.912046135327e+03 1.022758681361e+05
10.60 9.433962264151e-02 3.405992359676e+00 3.906916943064e+01 1.627882059610e+02 3.333542460707e+00 4.552665333760e+10 3.610351901256e+01 -2.116400000000e+02 1.129960000000e+04 2.382032000000e+03 3.105874788512e+03 1.141524665712e+05
10.70 9.345794392523e-02 3.419538891514e+00 3.925302536111e+01 1.635542723380e+02 3.349544304741e+00 4.595615006720e+10 3.658906613920e+01 -2.095100000000e+02 1.151320000000e+04 2.450086000000e+03 3.311447408471e+03 1.274082133132e+05
10.80 9.259259259259e-02 3.432959407276e+00 3.943602414037e+01 1.643167672515e+02 3.365473035513e+00 4.638564679680e+10 3.707596159858e+01 -2.073600000000e+02 1.172880000000e+04 2.519424000000e+03 3.529407490808e+03 1.422032594411e+05
10.90 9.174311926606e-02 3.446256229890e+00 3.961817764613e+01 1.650757401922e+02 3.381329659460e+00 4.681514352640e+10 3.756419290580e+01 -2.051900000000e+02 1.194640000000e+04 2.590058000000e+03 3.760430197733e+03 1.587163532854e+05
11.00 9.090909090909e-02 3.459431618637e+00 3.979949748426e+01 1.658312395178e+02 3.397115160078e+00 4.724464025600e+10 3.805374780501e+01 -2.030000000000e+02 1.216600000000e+04 2.662000000000e+03 4.005223747165e+03 1.771470000000e+05
11.10 9.009009009009e-02 3.472487771463e+00 3.997999499750e+01 1.665833124896e+02 3.412830498649e+00 4.767413698560e+10 3.854461426324e+01 -2.007900000000e+02 1.238760000000e+04 2.735262000000e+03 4.264530855723e+03 1.977178719106e+05
11.20 8.928571428571e-02 3.485426827170e+00 4.015968127364e+01 1.673320053068e+02 3.428476614937e+00 4.810363371520e+10 3.903678046431e+01 -1.985600000000e+02 1.261120000000e+04 2.809856000000e+03 4.539130237417e+03 2.206774987601e+05
11.30 8.849557522124e-02 3.498250867528e+00 4.033856715353e+01 1.680773631397e+02 3.444054427859e+00 4.853313044480e+10 3.953023480306e+01 -1.963100000000e+02 1.283680000000e+04 2.885794000000e+03 4.829838159947e+03 2.463032703540e+05
11.40 8.771929824561e-02 3.510961919277e+00 4.051666323872e+01 1.688194301613e+02 3.459564836126e+00 4.896262717440e+10 4.002496587976e+01 -1.940400000000e+02 1.306440000000e+04 2.963088000000e+03 5.137510060526e+03 2.749047878824e+05
11.50 8.695652173913e-02 3.523561956057e+00 4.069397989875e+01 1.695582495781e+02 3.475008718861e+00 4.939212390400e+10 4.052096249466e+01 -1.917500000000e+02 1.329400000000e+04 3.041750000000e+03 5.463042223252e+03 3.068276044084e+05
11.60 8.620689655172e-02 3.536052900240e+00 4.087052727822e+01 1.702938636593e+02 3.490386936190e+00 4.982162063360e+10 4.101821364279e+01 -1.894400000000e+02 1.352560000000e+04 3.121792000000e+03 5.807373520062e+03 3.424573997135e+05
11.70 8.547008547009e-02 3.548436624696e+00 4.104631530357e+01 1.710263137649e+02 3.505700329818e+00 5.025111736320e+10 4.151670850894e+01 -1.871100000000e+02 1.375920000000e+04 3.203226000000e+03 6.171487217393e+03 3.822246399397e+05
11.80 8.474576271186e-02 3.560714954474e+00 4.122135368956e+01 1.717556403732e+02 3.520949723569e+00 5.068061409280e+10 4.201643646280e+01 -1.847600000000e+02 1.399480000000e+04 3.286064000000e+03 6.556412850735e+03 4.266097783234e+05
