# R1=Unsorted_array R2=Sorted_array R3=Singly_linked_unsorted R4=Singly_linked_sorted R5=Doubly_linked_unsorted R6=Doubly_linked_sorted
# metric=dominant_step_count; experiment targets worst-case configurations
# n R1_Search R1_Insert R1_Delete R1_Maximum R1_Minimum R1_Predecessor R1_Successor R2_Search R2_Insert R2_Delete R2_Maximum R2_Minimum R2_Predecessor R2_Successor R3_Search R3_Insert R3_Delete R3_Maximum R3_Minimum R3_Predecessor R3_Successor R4_Search R4_Insert R4_Delete R4_Maximum R4_Minimum R4_Predecessor R4_Successor R5_Search R5_Insert R5_Delete R5_Maximum R5_Minimum R5_Predecessor R5_Successor R6_Search R6_Insert R6_Delete R6_Maximum R6_Minimum R6_Predecessor R6_Successor
53130 53130 1 1 53129 53129 53130 53130 16 53130 53129 1 1 1 1 53130 1 53129 53129 53129 53130 53130 53130 53129 53129 1 1 53129 1 53130 1 1 53129 53129 53130 53130 53130 53129 1 1 1 1 1
53819 53819 1 1 53818 53818 53819 53819 16 53819 53818 1 1 1 1 53819 1 53818 53818 53818 53819 53819 53819 53818 53818 1 1 53818 1 53819 1 1 53818 53818 53819 53819 53819 53818 1 1 1 1 1
54509 54509 1 1 54508 54508 54509 54509 16 54509 54508 1 1 1 1 54509 1 54508 54508 54508 54509 54509 54509 54508 54508 1 1 54508 1 54509 1 1 54508 54508 54509 54509 54509 54508 1 1 1 1 1
55198 55198 1 1 55197 55197 55198 55198 16 55198 55197 1 1 1 1 55198 1 55197 55197 55197 55198 55198 55198 55197 55197 1 1 55197 1 55198 1 1 55197 55197 55198 55198 55198 55197 1 1 1 1 1
55887 55887 1 1 55886 55886 55887 55887 16 55887 55886 1 1 1 1 55887 1 55886 55886 55886 55887 55887 55887 55886 55886 1 1 55886 1 55887 1 1 55886 55886 55887 55887 55887 55886 1 1 1 1 1
56576 56576 1 1 56575 56575 56576 56576 16 56576 56575 1 1 1 1 56576 1 56575 56575 56575 56576 56576 56576 56575 56575 1 1 56575 1 56576 1 1 56575 56575 56576 56576 56576 56575 1 1 1 1 1
57265 57265 1 1 57264 57264 57265 57265 16 57265 57264 1 1 1 1 57265 1 57264 57264 57264 57265 57265 57265 57264 57264 1 1 57264 1 57265 1 1 57264 57264 57265 57265 57265 57264 1 1 1 1 1
57955 57955 1 1 57954 57954 57955 57955 16 57955 57954 1 1 1 1 57955 1 57954 57954 57954 57955 57955 57955 57954 57954 1 1 57954 1 57955 1 1 57954 57954 57955 57955 57955 57954 1 1 1 1 1
58644 58644 1 1 58643 58643 58644 58644 16 58644 58643 1 1 1 1 58644 1 58643 58643 58643 58644 58644 58644 58643 58643 1 1 58643 1 58644 1 1 58643 58643 58644 58644 58644 58643 1 1 1 1 1
59333 59333 1 1 59332 59332 59333 59333 16 59333 59332 1 1 1 1 59333 1 59332 59332 59332 59333 59333 59333 59332 59332 1 1 59332 1 59333 1 1 59332 59332 59333 59333 59333 59332 1 1 1 1 1
60022 60022 1 1 60021 60021 60022 60022 16 60022 60021 1 1 1 1 60022 1 60021 60021 60021 60022 60022 60022 60021 60021 1 1 60021 1 60022 1 1 60021 60021 60022 60022 60022 60021 1 1 1 1 1
60711 60711 1 1 60710 60710 60711 60711 16 60711 60710 1 1 1 1 60711 1 60710 60710 60710 60711 60711 60711 60710 60710 1 1 60710 1 60711 1 1 60710 60710 60711 60711 60711 60710 1 1 1 1 1
61400 61400 1 1 61399 61399 61400 61400 16 61400 61399 1 1 1 1 61400 1 61399 61399 61399 61400 61400 61400 61399 61399 1 1 61399 1 61400 1 1 61399 61399 61400 61400 61400 61399 1 1 1 1 1
62090 62090 1 1 62089 62089 62090 62090 16 62090 62089 1 1 1 1 62090 1 62089 62089 62089 62090 62090 62090 62089 62089 1 1 62089 1 62090 1 1 62089 62089 62090 62090 62090 62089 1 1 1 1 1
62779 62779 1 1 62778 62778 62779 62779 16 62779 62778 1 1 1 1 62779 1 62778 62778 62778 62779 62779 62779 62778 62778 1 1 62778 1 62779 1 1 62778 62778 62779 62779 62779 62778 1 1 1 1 1
63468 63468 1 1 63467 63467 63468 63468 16 63468 63467 1 1 1 1 63468 1 63467 63467 63467 63468 63468 63468 63467 63467 1 1 63467 1 63468 1 1 63467 63467 63468 63468 63468 63467 1 1 1 1 1
64157 64157 1 1 64156 64156 64157 64157 16 64157 64156 1 1 1 1 64157 1 64156 64156 64156 64157 64157 64157 64156 64156 1 1 64156 1 64157 1 1 64156 64156 64157 64157 64157 64156 1 1 1 1 1
64846 64846 1 1 64845 64845 64846 64846 16 64846 64845 1 1 1 1 64846 1 64845 64845 64845 64846 64846 64846 64845 64845 1 1 64845 1 64846 1 1 64845 64845 64846 64846 64846 64845 1 1 1 1 1
65536 65536 1 1 65535 65535 65536 65536 17 65536 65535 1 1 1 1 65536 1 65535 65535 65535 65536 65536 65536 65535 65535 1 1 65535 1 65536 1 1 65535 65535 65536 65536 65536 65535 1 1 1 1 1
